id,web_name,full_name,team,team_short,pos,price,selected_by_percent,status,chance_next,news,total_points,form,points_per_game,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,defensive_contribution,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,ep_this,ep_next,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,penalties_order,corners_order,freekicks_order
32,Cash,Matty Cash,Aston Villa,AVL,DEF,4.4,5.2,a,100,,7,1.8,2.3,251,3,0,0,1,5,1,0,0,0,23,14,0.15,0.04,0.19,5.03,32.4,19.2,13.0,6.5,1.4,1.8,-1,-1,2046,94810,,1,
206,Chadi Riad,Chadi Riad Dnanou,Crystal Palace,CRY,DEF,4.4,0.0,i,0,Knee injury - Unknown return date,1,0.2,1.0,72,1,0,0,0,2,0,0,0,0,7,7,0.00,0.01,0.01,0.98,12.6,1.3,0.0,1.4,0.0,0.0,0,-1,40,296,,,
113,F.Kadıoğlu,Ferdi Kadıoğlu,Brighton,BHA,DEF,4.4,1.6,a,100,,8,2.0,2.7,257,3,0,0,1,5,0,0,0,0,28,7,0.08,0.11,0.19,6.66,21.8,44.6,27.0,9.4,2.0,2.0,0,-1,3337,12271,,3,
438,Fletcher,Tyler Fletcher,Man Utd,MUN,MID,4.4,0.3,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,2026,2445,,,
421,Heaven,Ayden Heaven,Man Utd,MUN,DEF,4.4,0.3,a,,,1,0.2,1.0,90,1,0,0,0,2,0,0,0,0,5,2,0.12,0.04,0.16,1.01,6.8,2.6,11.0,2.0,0.2,0.2,0,-1,514,2785,,,
89,Henry,Rico Henry,Brentford,BRE,DEF,4.4,0.2,a,,,1,0.2,1.0,2,0,0,0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.2,0.2,-1,-1,326,1247,,,
212,Hughes,Will Hughes,Crystal Palace,CRY,MID,4.4,7.9,a,,,2,0.5,1.0,29,0,0,0,0,1,0,0,0,0,9,7,0.00,0.04,0.04,1.12,8.0,15.3,0.0,2.4,0.5,0.5,-1,-1,19804,70281,,4,
534,Hume,Trai Hume,Sunderland,SUN,DEF,4.4,3.3,a,,,9,2.2,3.0,195,2,0,0,1,1,0,0,0,0,46,12,0.04,0.28,0.32,3.09,31.8,58.6,15.0,10.6,2.2,2.2,0,-1,1470,59378,,3,
65,J.Araujo,Julián Araujo Zúñiga,Bournemouth,BOU,DEF,4.4,0.0,i,0,Thigh injury - Unknown return date,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,72,124,,,
395,Lewis,Rico Lewis,Man City,MCI,DEF,4.4,0.2,a,,,1,0.2,1.0,56,1,0,0,0,1,0,0,0,0,-1,2,0.17,0.02,0.19,0.55,3.8,3.8,39.0,4.7,0.2,0.2,0,-1,940,2158,,,
422,Mazraoui,Noussair Mazraoui,Man Utd,MUN,DEF,4.4,0.5,a,,,3,0.8,1.0,97,1,0,0,0,4,0,0,0,0,6,6,0.22,0.06,0.28,2.08,21.0,31.2,11.0,6.4,0.8,0.8,0,-1,2139,6158,,,
378,McConnell,James McConnell,Liverpool,LIV,MID,4.4,0.2,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,2121,2001,,,
